# PGM       : FAST
# Author    : Chuntao Chang
# Inf       : satNum Count Statistics
# Time      : 2025-06-01 20:22:52
#             END OF HEADER

+SYS
 gSys  AVE  MIN  MAX
--------------------
    G 11.3    8   14
    E 10.5    6   14
    R  8.0    6   11
    C 22.9   18   28
    J  0.7    0    2
  ALL 53.4   46   62
--------------------
-SYS

+SAT
               epoch    G   E   R   C   J ALL
 2025-01-01 02:36:30   13  12   6  20   1  52
 2025-01-01 02:37:00   13  12   6  20   1  52
 2025-01-01 02:37:30   13  12   6  20   1  52
 2025-01-01 02:38:00   13  12   6  20   1  52
 2025-01-01 02:38:30   13  12   6  20   1  52
 2025-01-01 02:39:00   13  12   6  20   1  52
 2025-01-01 02:39:30   13  12   6  20   1  52
 2025-01-01 02:40:00   13  12   6  20   1  52
 2025-01-01 02:40:30   13  12   6  20   1  52
 2025-01-01 02:41:00   13  12   6  20   1  52
 2025-01-01 02:41:30   13  12   6  20   1  52
 2025-01-01 02:42:00   13  12   6  20   1  52
 2025-01-01 02:42:30   13  12   6  20   1  52
 2025-01-01 02:43:00   13  12   6  20   1  52
 2025-01-01 02:43:30   12  12   6  20   1  51
 2025-01-01 02:44:00   13  12   6  20   1  52
 2025-01-01 02:44:30   13  12   6  20   1  52
 2025-01-01 02:45:00   13  12   6  20   1  52
 2025-01-01 02:45:30   13  12   6  20   1  52
 2025-01-01 02:46:00   13  12   6  20   1  52
 2025-01-01 02:46:30   13  12   6  20   1  52
 2025-01-01 02:47:00   13  12   6  20   1  52
 2025-01-01 02:47:30   13  12   6  20   1  52
 2025-01-01 02:48:00   13  12   6  20   1  52
 2025-01-01 02:48:30   13  12   6  21   1  53
 2025-01-01 02:49:00   13  12   6  21   1  53
 2025-01-01 02:49:30   13  12   6  21   1  53
 2025-01-01 02:50:00   13  12   6  21   1  53
 2025-01-01 02:50:30   13  12   6  21   1  53
 2025-01-01 02:51:00   12  12   6  21   1  52
 2025-01-01 02:51:30   13  12   6  21   1  53
 2025-01-01 02:52:00   12  12   6  21   1  52
 2025-01-01 02:52:30   12  12   6  21   1  52
 2025-01-01 02:53:00   12  12   6  21   1  52
 2025-01-01 02:53:30   13  12   6  21   1  53
 2025-01-01 02:54:00   13  12   6  21   1  53
 2025-01-01 02:54:30   12  12   6  21   1  52
 2025-01-01 02:55:00   13  12   6  21   1  53
 2025-01-01 02:55:30   13  12   6  21   1  53
 2025-01-01 02:56:00   12  12   6  21   1  52
 2025-01-01 02:56:30   13  12   6  21   1  53
 2025-01-01 02:57:00   12  12   6  21   1  52
 2025-01-01 02:57:30   12  12   6  21   1  52
 2025-01-01 02:58:00   12  12   6  21   1  52
 2025-01-01 02:58:30   12  12   6  21   1  52
 2025-01-01 02:59:00   12  12   6  21   1  52
 2025-01-01 02:59:30   13  12   6  21   1  53
 2025-01-01 03:00:00   12  12   6  21   1  52
 2025-01-01 03:00:30   12  12   6  21   1  52
 2025-01-01 03:01:00   12  11   6  20   1  50
 2025-01-01 03:01:30   12  11   6  20   1  50
 2025-01-01 03:02:00   12  11   6  20   1  50
 2025-01-01 03:02:30   13  11   6  20   1  51
 2025-01-01 03:03:00   13  11   6  20   1  51
 2025-01-01 03:03:30   13  11   6  20   1  51
 2025-01-01 03:04:00   12  11   6  20   1  50
 2025-01-01 03:04:30   12  11   6  20   1  50
 2025-01-01 03:05:00   13  11   6  20   1  51
 2025-01-01 03:05:30   13  11   6  20   1  51
 2025-01-01 03:06:00   13  11   6  20   1  51
 2025-01-01 03:06:30   13  11   6  20   1  51
 2025-01-01 03:07:00   13  11   6  20   1  51
 2025-01-01 03:07:30   12  11   6  20   1  50
 2025-01-01 03:08:00   12  11   6  20   1  50
 2025-01-01 03:08:30   12  11   6  20   1  50
 2025-01-01 03:09:00   11  11   6  20   1  49
 2025-01-01 03:09:30   11  11   6  20   1  49
 2025-01-01 03:10:00   11  11   6  20   1  49
 2025-01-01 03:10:30   11  11   6  20   1  49
 2025-01-01 03:11:00   11  11   6  20   1  49
 2025-01-01 03:11:30   11  11   6  20   1  49
 2025-01-01 03:12:00   11  11   6  20   1  49
 2025-01-01 03:12:30   11  11   6  20   1  49
 2025-01-01 03:13:00   11  11   7  20   1  50
 2025-01-01 03:13:30   11  11   7  20   1  50
 2025-01-01 03:14:00   10  11   7  20   1  49
 2025-01-01 03:14:30   10  11   7  20   1  49
 2025-01-01 03:15:00   10  11   7  20   1  49
 2025-01-01 03:15:30   10  11   7  20   1  49
 2025-01-01 03:16:00   10  11   7  20   1  49
 2025-01-01 03:16:30   10  11   7  20   1  49
 2025-01-01 03:17:00   10  11   7  20   1  49
 2025-01-01 03:17:30   10  11   7  20   1  49
 2025-01-01 03:18:00   10  11   7  20   1  49
 2025-01-01 03:18:30   10  11   7  20   1  49
 2025-01-01 03:19:00   10  11   7  20   1  49
 2025-01-01 03:19:30   10  11   7  21   1  50
